,Abbreviation,Definition,URL,Info,TextBlob_Subjectivity,Vader_SentimentScore,no_of_abreviations
779,PCS,Public & Commercial Services,,Civil Service union.,0,0,0
780,PCSC,"Police, Crime, Sentencing and Courts Act 2022",,,0,0,0
781,PCSCA2022,"Police, Crime, Sentencing and Courts Act 2022",,,0,0,0
782,PCSO,Police Community Support Officer,,,0,0,0
783,PCUAM,Provider Contracts and User Access Management,,,0,0,0
784,PCVL,Prison to court video link,,,0,0,0
785,PDA,Personal Digital Assistant,,,0,0,0
786,PDB,Probation Delivery Board,,,0,0,0
787,PDG,Prison Directors Group,,,0,0,0
788,PDS,Public Defence Service,,,0,0,0
790,PE,Physical Education,,,0,0,0
791,PEA,Prisoner Earnings Act,,,0,0,0
792,Peakon,People Analytics & Employee Engagement Software,,"Similar to the People Survey, but we're polled fortnightly instead of yearly",0.4,0,0
794,PED,Parole Eligibility Date,,,0,0,0
796,PER,Person Escort Record,,,0,0,0
797,PETP,Prison Estates Transformation Programme,,,0,0,0
798,PEX(ER),Public Expenditure (Efficiency and Reform) Cabinet Sub-committee,,,0,0,0
800,PF,Policy Framework,,,0,0,0
801,PFD,President of the Families Division,,,0,0,0
802,PFI,Private Finance Initiative,,A way of creating 'public-private partnerships' where private firms are contracted to complete and manage public projects.,0.280555556,0.296,0
804,PGA,Prison Governor's Association,,Governor's union,0,0,0
805,PGD,Prison Group Director,,,0,0,0
807,PHDP,Prison Health Delivery Plan,,,0,0,0
808,PHE,Public Health England,,,0,0,0
809,Phoenix,"A human resources IT system, replaced by SOP",,,0,0,0
810,PHW,Public Health Wales,,,0,0,0
811,PI,Probation Instruction,,,0,0,0
812,PIA,Privacy Impact Assessment,,,0,0,0
814,PIC,Performance Improvement Co-ordinator,,,0,0,0
815,PID,Project Initiation Document,,,0,0,0
816,PIMS,Provider Interaction Management System,,,0,0,0
818,PIP,Personal Independence Payment,,,0,0,0
819,PIP,Performance Improvement Planning,,A strand of the Benchmarking programme,0,0,0
820,PIPES,Psychologically Informed Physical Environment Services,,,0,0,0
823,PLP,Personal Learning Plan,https://dsdmoj.atlassian.net/wiki/spaces/RR/pages/4348772892/Personal+Learning+Plan+PLP,,0,0,0
824,PMBLO,"Pregnancy, Mother and Baby Unit Liaison Officer",,,0,0,0
825,PMO,Project Management Office,,Bit of organisation that sets standards for project management.,0,0,0
826,PMP,Privately Managed Prisons,,,0,0,0
827,PMR,Performance Management Review,,Civil Servant performance reviews,0,0,0
828,PMU,Prison Management Unit,,,0,0,0
829,PMU,Population Management Unit,,,0,0,0
830,PNC,Police National Computer,,The Police National Computer is used to facilitate investigations and sharing information of both national and local importance.,0,0.6486,0
832,PO,Prison Officer,,,0,0,0
836,PoC,Proof of Concept,,,0,0,0
841,POMC,Prison Operations Management Committee,,,0,0,0
843,POPO,Prolific and Other Priority Offender,,,0,0,0
844,POPs,Privately Operated Prisons,,,0,0,0
845,POS,Prison Onsite Support,,,0,0,0
848,PP,Probation Practitioner,,,0,0,0
850,PPCS,Public Protection Casework Section,,,0,0,0
851,PPD,Project & Program Delivery,,,0,0,0
852,PPE,Personal Protective Equipment,,,0,0,0
854,PPM,Project & Program Management,,,0,0,0
857,PPO,Priority Prolific Offender,,,0,0,0
858,PPRC,Persons posing a risk to children,,,0,0,0
859,PPT,Prison Performance Tool,,,0,0,0
860,PPU,Public Protection Unit,,,0,0,0
862,PQ,Parliamentary Question,,,0,0,0
863,PQiP,Professional Qualification in Probation,,,0,0,0
864,PRC,Prisons Research Centre,,,0,0,0
865,Pre Con,Previous Conviction,,,0,0,0
867,PRP,Probation Reform Programme,,A Draft Target Operating Model for the Future of Probation Services in England and Wales,0.125,0,0
868,PRRD,Post Recall Release Date,,,0,0,0
870,PS,Police Sergeant,,,0,0,0
871,PS,Probation Service,,New name (June 2021) for what was the National Probation Service.,0.454545455,0,0
872,PSA,Public Service Agreement,,MoJ Business Objectives,0,0,0
874,PSE,Police Sergeant Employee,,,0,0,0
875,PSfR,Prepare someone for release,,Staff facing resettlement service,0,0,0
876,PSG,Policy and Strategy Group,,,0,0,0
878,PSI,Public Sector Information,,"Any information (content) whatever its medium (form) – including print, digital or electronic, and sound recordings – produced, held or disseminated by a public sector body is considered public sector information. This includes an enormous range: corporate information such as reports and financial data, codes of practice, public records, statistics, still and moving images, press releases, artefacts, publication schemes, and so on.",0.222222222,0,0
883,PSO,Probation Service Officer,,,0,0,0
885,PSP,Public Sector Prisons,,,0,0,0
886,PSP,Public Social Partnership,,,0,0,0
887,PSRs,Pre-Sentence Reports,,,0,0,0
888,PSS,Post Sentence Supervision,,,0,0,0
889,PSU,Personal Support Unit,,,0,0,0
891,PTPH,Plea and Trial Preparation Hearing,,,0,0,0
892,PTR,Prisoner Transfer Request,,,0,0,0
897,PVO,Privileged Visiting Order,,Extra visiting credit for enhanced prisoners. One or two extra visits per month.,0.1,-0.1779,0
899,Q&A,Questions & Answers,,,0,0,0
900,QA,Quality Assurance,,,0,0,0
901,QAT,Quality Assurance Testing,,,0,0,0
902,QlikView,Third Party Business Intelligence software,,,0,0,0
903,QPC,Quantum Principal Contact,,,0,0,0
904,QUANTUM,Prison Service IT System,,,0,0,0
905,R&D,Research & Development,,,0,0,0
906,R&R,Reward & Recognition,,,0,0,0
907,R&R,Reasoning and Rehabilitation,,,0,0,0
909,RAA,Regional Assurance Advisor,,,0,0,0
910,RAB,Resource Accounting & Budgeting,,,0,0,0
911,RACI,"Responsible, Accountable, Consulted, Informed",,,0,0.4215,0
912,RAD,Rapid Application Development,,,0,0,0
913,RADA,Restoration of Added Days Awarded,,,0,0,0
914,RAG,Race Advisory Group,,,0,0,0
915,RAG,Red Amber Green,,Traffic lights system of highlighting performance figures,0,0,0
916,RAID,"Risks, Issues, Assumptions and Dependencies",,,0,0,0
917,RAMP,Risk Assessment and Management Panel,,,0,0,0
918,RAR,Rehabilitation Activity Requirement,,,0,0,0
919,RBAC,Role Based Access Control,,,0,0,0
920,RBCP,Regional Business Change Partner,,,0,0,0
922,RBRu,Rapid Build Residential unit,,,0,0,0
924,RCJ,Royal Courts of Justice,,"Contains both the High Court and Courts of Appeal, based on the Stand in London. Definitely *not* like a large County Court!",0.48952381,0.222,0
925,RCSG,Rehabilitation and Care Services Group,,,0,0,0
927,RDC,Rapid Deployment Cells,,,0,0,0
928,RDR,Resettlement Day Release,,Relates to RoTL (Release on Temporary Licence) documentation,0,0,0
929,RDS,Research Development and Statistics,,,0,0,0
930,REAG,Race & Equalities Action Group,,,0,0,0
931,REAP,Race Equality Action Plan,,,0,0,0
936,RIC,Remand in custody,,,0,0,0
937,RIDDOR,"Reporting of Injuries, Diseases and Dangerous Occurrences",,,0,0,0
938,RIDs,"Receipt, Inspection and Dispatch Units",,,0,0,0
939,RIE,Release in Error,,,0,0,0
943,RMADS,Risk Management and Accreditation Document Set,,,0,0,0
944,RMP,Risk Management Plan,,,0,0,0
946,RoCLA,Review of Civil Legal Aid,,,0,0,0
947,RoH,Risk of Harm,,,0,0,0
949,ROPARPS,The Release of Prisoners (Alteration of Relevant Proportion of Sentence) Order 2020,,,0,0,0
950,ROPARPS2020,The Release of Prisoners (Alteration of Relevant Proportion of Sentence) Order 2020,,,0,0,0
951,ROR,Resettlement Overnight Release,,Relates to RoTL (Release on Temporary Licence) documentation,0,0,0
953,ROSH,Risk of Serious Harm,,,0,0,0
955,RP,Rolling Programme,,Sex Offender Treatment Programme (no longer running).,0,-0.3612,0
956,RPA,Robotic Process Automation,,,0,0,0
957,RPD,Regional Probation Director,,,0,0,0
958,RPM,Royal Prerogative of Mercy,,,0,0,0
959,RPTS,Residential Property Tribunal Service,,,0,0,0
960,RRAP,Reducing re-offending Regional Action Plan,,,0,0,0
961,RRDS,Records Retention and Disposition Schedule,,,0,0,0
962,RRLO,Race Relations Liaison Officer,,,0,0,0
963,RRMT,Race Relations Management Team,,,0,0,0
964,RS,Restricted Status prisoners,,,0,0,0
965,RSG,Rehabilitation Services Group,,,0,0,0
966,RSHO,Risk of Sexual Harm Order,,,0,0,0
967,RSIPB,Resource Strategy Implementation Programme Board,,,0,0,0
968,RSR,Risk of Serious Recidivism,,Algorithmic predictor,0,0,0
969,RTM,Requirements Traceability Matrix,,,0,0,0
970,RTUs,Ready To Use Units,,,0,0,0
972,Rx,Remand to Custody,,,0,0,0
973,S&A,Strategy & Assurance,,,0,0,0
974,S3,Simple Storage Service,,Amazon's data storage service,0,0,0
975,SA2020,Sentencing Act 2020,,,0,0,0
978,SARA,Spousal Assault Risk Assessment,,,0,0,0
979,SARN,Structured Assessment of Risk and Need,,,0,0,0
980,SASH,Suicide and Self Harm,,,0,0,0
981,SAU,Standards Audit Unit,,,0,0,0
983,SBC,"Specification, Benchmarking and Costing",,,0,0,0
984,SC,Security Check,,Level of Security Clearance,0,0.34,0
985,SC2020,Sentencing Code 2020,,,0,0,0
986,SCA,Start Custody Assessments,,,0,0,0
987,SCA2007,Serious Crime Act 2007,,,0,0,0
988,SCC,Service Civilian Court,,,0,0,0
989,SCC,Specialist Computer Centres,,Providers of web hosting,0,0,0
990,SCG,Safer Custody Group,,,0,0,0
992,SCMS,Small Claims Mediation Service,,"Mediation service for people involved in small claim disputes. Applies to cases worth less than £10,000.",0.188888889,-0.0516,0
994,SCS,Senior Civil Servant,,"Someone with a senior post in the Civil Service, for example a Director.",0,0,0
995,SCSBP,Senior Civil Service Business Partner,,Organisation or individual who assists during recruitment of a Senior Civil Servant.,0.4,0,0
997,SCU,Separation & Care Unit,,Also / previously known as the Segregation Unit (Seg),0.166666667,0,0
998,SDI,Service Delivery Indicator,,,0,0,0
999,SDO,Standard Directions Order,,"Instructions from the court, issued to parties on how they should prepare for a legal case",0.2,0.4939,0
1000,SDOPC,Special Sentence of Detention for Terrorist Offenders of Particular Concern,,,0,0,0
1001,SDP,Short Duration Programme,,Substance Misuse Programme (no longer running).,0,0,0
1002,SDR,Service Delivery Requirements,,,0,0,0
1003,SDS,"Safe, Decent & Secure",,,0,0,0
1005,SDS,Standard Determinate Sentence,,,0,0,0
1006,SDS+,Standard Determinate Sentence Plus (2/3rds release,,,0,0,0
1007,SDT,Safety Diagnostic Tool,,,0,0,0
1008,SED,Sentence Expiry Date,,,0,0,0
1009,SEG,Strategy and Effectiveness Group,,,0,0,0
1013,SFA,Skills Funding Agency,,"A partner organisation of the Department for Business, Innovation and Skills and our job is to fund and regulate adult further education and skills training in England.",0.4,0.3818,0
1014,SFO,Serious Further Offence,,,0,0,0
1015,SHA,Strategic Health Authority,,,0,0,0
1018,SHPO,Sexual Harm Prevention Orders,,,0,0,0
1019,SID,Self Inflicted Death,,,0,0,0
1020,SIDs,Self Inflicted Death,,,0,0,0
1021,SIG,Service Integration Group,,,0,0,0
1022,SIM,Service Incident and Management,,,0,0,0
1023,SiP,Staff in Post,,,0,0,0
1024,SIR,Security Information Record,,,0,0,0
1026,SIRB,Security Information Risk Board,,,0,0,0
1027,SIRO,Senior Information Risk Owner,,,0,0,0
1028,SIWG,Strategy and Implementation Working Group,,,0,0,0
1029,SL,Service Level measure,,"Synonymous with “service level”, “performance measure”, “performance metric” and “assurance metric”. These are descriptions of the activities monitored for performance purposes.",0,0,0
1030,SLA,Service Level Agreement,,,0,0,0
1031,SLC,Student Loans Company,,,0,0,0
1032,SLED,Sentence and Licence Expiry Date,,,0,0,0
1033,SLM,Send legal mail to prisons,,,0,0,0
1034,SMART,Specific Measureable Achievable Realistic Time-bound,,,0,0,0
1035,SMB,Strategic Management Board,,,0,0,0
1036,SME,Small or medium-sized enterprise,,,0,0,0
1038,SMOD,Subject Matter of Dispute,,"If a legal dispute is about the ownership of an asset, then the value of that asset may be treated differently when calculating eligibility for legal aid for the dispute",0.333333333,0.4588,0
1039,SMP,Substance Misuse Programme,,,0,0,0
1041,SMT,Senior Management Team,,,0,0,0
1043,SO,Supervising Officer,,,0,0,0
1045,SOCT,"Security, Order and Counter Terrorism",,,0,0,0
1046,SoMo,Social Mobility,,,0,0,0
1048,SOP,Standard Operating Procedure,,,0,0,0
1049,SOPC,Special Custodial Sentence for Certain Offenders of Particular Concern,,,0,0,0
1050,SoS,Secretary of State,,The Cabinet Minister in charge of a government department.,0,0,0
1051,SOTP,Sex Offender Treatment programme,,,0,0,0
1052,SPC,Suicide Prevention Co-ordinator,,,0,0,0
1053,SPG,Strategic Partner Gateway,,,0,0,0
1054,SPIP,Separated Parents Information Program,,Organises parent meetings with moderator.,0,0,0
1056,SPO,Senior Probation Officer,,,0,0,0
1057,SPO,Sentence Plan Outcomes,,,0,0,0
1058,SPOC,Single Point of Contact,,,0,0,0
1059,SPOF,Single Point of Failure,,"Often refers to a single system, machine or person without which/whom a process/system/company will grind to a halt.",0.214285714,0,0
1060,SPR,Sentence Planning & Review,,,0,0,0
1061,SPRM,Sentence Plan Review Meeting,,,0,0,0
1062,SPTL,Suicide Prevention team Leader,,,0,0,0
1063,SR,Service Release,,Used by NDelius application team to reference releases,0,0,0
1064,SRA,Security Risk Assessments,,,0,0,0
1065,SRE,Site Reliability Engineer,,,0,0,0
1067,SRO,Sexual Risk of Harm Order,,,0,0,0
1070,SSCS,Social security and child support,,"As in 'Social Security and Child Support Tribunal', which deals with appeals about benefits decisions.",0.066666667,0.7717,0
1071,SSCU,"Separation, Support and Care (segregation) Unit",,,0,0,0
1073,SSO,Suspended Sentence Order,,,0,0,0
1074,SSOT,Single Source Of Truth,,,0,0,0
1075,SSP,Shared Services Programme,,,0,0,0
1076,STC,Secure Training Centre,,"Privately-run, education-focussed centres for children aged 12-17.",0.4,0,0
1077,STOP,"Substance, Treatment and Offending Programme",,Drugs programme,0,0,0
1078,STS,Serious Terrorism Sentence,,,0,0,0
1079,SU,Service User,,An offender in probation parlance,0,-0.3612,0
1084,Syscon,Software company who provide Prison-NOMIS,,"""Syscon Justice Systems is the world's leading provider of offender management solutions, used by more jails and prisons to manage offenders than any other""",0.4375,0.0258,0
1085,SystmOne,Name for the digital Healthcare System used by prison NHS staff,,"Often referred to as System One, but whilst it’s pronounced the same, the e isn’t actually in the name.",0.1125,0,0
1086,TA,Technical Architecture,,,0,0,0
1088,TAD,Technical Architecture Document,,,0,0,0
1090,TC,Therapeutic Community,,,0,0,0
1091,TCEP,Transforming Compliance and Enforcement Project/Programme,,,0,0,0
1092,TCM,Temporary Custodial Module,,,0,0,0
1093,TCoP,Technology Code of Practice,,The Technology Code of Practice is a cross-government agreed standard used for the [Cabinet Office spend control](https://www.gov.uk/government/collections/cabinet-office-controls) process and the [Local Digital Declaration](https://www.localdigital.gov.uk/declaration/).,0,0.2732,0
1094,TDiP,Transforming Delivery in Prisons,,,0,0,0
1095,TED,Tariff Expiry Date,,,0,0,0
1097,TERS,Tariff Early Removal Scheme,,,0,0,0
1098,TERSED,Tariff Early Removal Scheme Eligibility Date,,,0,0,0
1100,THD,Target Hearing Date,,,0,0,0
1102,TIL,Today I Learned,,,0,0,0
1104,TLA,Three Letter Acronym,,,0,0,0
1106,TMB,The Magenta Book,,"The Magenta Book is a set of guidance notes for policy evaluators and analysts, and people who use and commission policy evaluation.",0,0,0
1107,TN,Technical Note,,"A Hub document which provides the technical details of the service level measures, including how they are calculated.",0.1,0,0
1108,TNA,The National Archives,,,0,0,0
1109,TNA,Training Needs Analysis,,,0,0,0
1110,TOIL,Time Off in Lieu,,,0,0,0
1111,ToR,Terms of reference,,,0,0,0
1113,TORERA,Terrorist Offenders (Restriction of Early Release) Act 2020,,,0,0,0
1114,TORERA2020,Terrorist Offenders (Restriction of Early Release) Act 2020,,,0,0,0
1115,TP,Temporary Promotion,,Term usually used in relation to short term career promotions and covering the role of a higher band member of staff,0.35,0,0
1116,TR,Transforming Rehabilitation,,,0,0,0
1117,Traka,"Traka key systems only allow authorised users to access prison keys, ensuring they remain accounted for at all times.",,,0,0,0
1121,TUPE,TUPE stands for Transfer of Undertakings (Protection of Employment),,,0,0,0
1122,TUSED,Top Up Supervision Expiry Date,,,0,0,0
1123,TV,Tender Verification,,,0,0,0
1124,TVM,Transaction Volume Model,,,0,0,0
1125,TVSOGP,Thames Valley Sex Offenders Group Programme,,Sex Offender Treatment Programme (no longer running).,0,-0.3612,0
1126,TW3,The Way We Work,,,0,0,0
1127,UAL,Unlawfully At Large,,,0,0,0
1128,UAT,User Acceptance Test,,,0,0,0
1129,UC,Universal Credit,,,0,0,0
1130,UCPD,User Centred Policy Design,,,0,0,0
1131,UI,User Interface,,,0,0,0
1132,UKTI,UK Trade & Investment,,,0,0,0
1134,UPC,Unwanted prisoner contact,,,0,0,0
1135,UPW,UnPaid Work,,,0,0,0
1136,UX,User Experience,,,0,0,0
1138,VC,The Virtual Campus,,,0,0,0
1139,VCC,Video Conferencing Centres,,"Video conferencing centres (VCCs) are modern video facilities, purpose-built in prisons that serve the courts. VCCs are designed so they are suitable for court and parole hearings. They are also suitable for legal consultations. VCCs are not used for family or social visits by video call.",0.413333333,0.128,0
1141,VCS,Voluntary & Community Sector,,,0,0,0
1142,VDS,Virtual Desktop Services,,,0,0,0
1144,VDT,Voluntary Drug Testing,,"A scheme that allowed offenders to sign a compact agreeing to be drug tested at regular intervals to help them remain drug free & help them prove this, usually as part of their sentence plan, or in cases relating to Social Services etc.",0.298397436,0.836,0
1146,VEDS,Voluntary Early Departure Scheme,,"A scheme introduced around 2008, to allow Uniformed Prison Staff to retire early with a lump sum payment.",0.3,-0.34,0
1147,VHS,Video Hearings Service,,,0,0,0
1148,VICSO,Veteran in Custody Support Officer,,,0,0,0
1149,VICTOR/VICTOR ONE,Victor One,,"Duty Governor in charge of the prison each day. This is one of the few call signs that remain consistent across all prisons, to allow any visiting staff to be able to radio for assistance quickly when needed.",0.36875,-0.34,0
1150,ViCTOR,Velocity Intune Configurator,,,0,0,0
1151,VIS,Victims Information Service,,,0,0,0
1153,VLE,Virtual Learning Environments,,,0,0,0
1154,VO,Visiting Order,,Visiting credit for prisoners in the form of a reference number. Usually 2 a month.,0.25,-0.1027,0
1155,VOM,Vehicle Operations Manager,,,0,0,0
1156,VP,Vulnerable Prisoner,,,0,0,0
1157,VPS,Virtual Private Server,,,0,0,0
1158,VPU,Vulnerable Prisoner Unit,,,0,0,0
1160,VSR,Victim Summary Reports,,,0,0,0
1162,WAN,Wide Area Network,,,0,0,0
1164,WAV,Weighted Average Volumes,,,0,0,0
1165,WCAG,Web Content Accessibility Guidelines,https://www.gov.uk/service-manual/helping-people-to-use-your-service/understanding-wcag,,0,0,0
1166,WFH,Work From Home,,,0,0,0
1167,WFPT,Workforce Planning Tool,,,0,0,0
1168,WIS,Witness Intermediary Scheme,,,0,0,0
1169,WLB,Work-Life Balance,,,0,0,0
1170,WLMT,WorkLoad Measurement Tool,,,0,0,0
1174,WVD,Windows Virtual Desktop,,,0,0,0
1178,YCS,Youth Custody Service,,,0,0,0
1179,YJAF,Youth Justice Application Framework,,,0,0,0
1180,YJB,Youth Justice Board,,,0,0,0
1181,YO,Young Offender,,,0,0,0
1182,YOA,Young Adult Offenders,,,0,0,0
1183,YOI,Young Offender Institution,,"A type of facility in England and Wales designed for individuals aged 18-20 who have committed offenses, although some facilities also accommodate younger individuals.",0.2,-0.1027,0
1184,YOS,Youth Offending Service,,,0,0,0
1186,YTD,Year To Date,,,0,0,0